TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
1023513	BuildingBattleGradeTip		棒	Very good	Very good	Очень хорошо	Very good	Very good	Very good	Very good	Very good	Sangat baik	เก่ง	Very good	Very good	Very good
1023514	BuildingBattleGradeTip		神作啊！	Perfect	Perfect	Идеально	Perfect	Perfect	Perfect	Perfect	Perfect	Sempurna	ยอดเยี่ยม	Perfect	Perfect	Perfect
1023515	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000这是什么鬼！	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Финальная оценка ▢FFFF0000что за чертовщина	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Skor terakhir▢FFFF0000Apa-apaan	คะแนนสุดท้ายที่ให้คือ▢FFFF0000นี่คือผีอะไร	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell	Final Score ▢FFFF0000what the hell
1023516	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000不行	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Финальная оценка ▢FFFF0000плохо	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Skor Terakhir▢FFFF0000jelek	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ไม่ได้	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad	Final Score ▢FFFF0000bad
1023517	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000过关	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Финальная оценка ▢FFFF0000пойдет	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Skor Terakhir ▢FFFF0000cukup	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ผ่าน	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass	Final Score ▢FFFF0000pass
1023518	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000挺好的	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Финальная оценка ▢FFFF0000хорошо	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Skor Terakhir ▢FFFF0000baik	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ดีมาก	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good	Final Score ▢FFFF0000good
1023519	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000棒	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Финальная оценка ▢FFFF0000очень хорошо	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Skor Terakhir ▢FFFF0000sangat baik	คะแนนสุดท้ายที่ให้คือ▢FFFF0000เก่ง	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good	Final Score ▢FFFF0000very good
1023520	BuildingBattleGradeFinalTip		最终打分是▢FFFF0000神作啊！	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Финальная оценка ▢FFFF0000идеально	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Skor Terakhir ▢FFFF0000sempurna	คะแนนสุดท้ายที่ให้คือ▢FFFF0000ยอดเยี่ยม	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect	Final Score ▢FFFF0000perfect
1023521	BuildingBattleWinner		▢FF00FF00第一名：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Победитель:▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Pemenang:▢FFFF0000%1s	▢FF00FF00ที่หนึ่ง：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s	▢FF00FF00Winner：▢FFFF0000%1s
1023522	BuildingBattleCanNotGradeSelf		▢FFFF0000无法给自己打分	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Нельзя голосовать за себя!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Tidak bisa menilai diri sendiri!	▢FFFF0000ไม่สามารถให้คะแนนแก่ตนเองได้	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!	▢FFFF0000Can not score yourself!
																
																
																
																
																
																
		#1023001~1023500题库														
1023001	BuildingBattleQuestion	苹果	苹果	Apple	Apple	Яблоко	Apple	Apple	Apple	Apple	Apple	Apel	แอปเปิ้ล	Apple	Apple	Apple
1023002	BuildingBattleQuestion	香蕉	香蕉	Banana	Banana	Банан	Banana	Banana	Banana	Banana	Banana	Pisang	กล้วย	Banana	Banana	Banana
1023003	BuildingBattleQuestion	西瓜	西瓜	Watermelon	Watermelon	Арбуз	Watermelon	Watermelon	Watermelon	Watermelon	Watermelon	Semangka	แตงโม	Watermelon	Watermelon	Watermelon
1023004	BuildingBattleQuestion	葡萄	葡萄	Grapes	Grapes	Виноград	Grapes	Grapes	Grapes	Grapes	Grapes	Anggur	องุ่น	Grapes	Grapes	Grapes
1023005	BuildingBattleQuestion	菠萝	菠萝	Pineapple	Pineapple	Ананас	Pineapple	Pineapple	Pineapple	Pineapple	Pineapple	Nanas	สับปะรด	Pineapple	Pineapple	Pineapple
1023006	BuildingBattleQuestion	医生	医生	Doctor	Doctor	Доктор	Doctor	Doctor	Doctor	Doctor	Doctor	Dokter	หมอ	Doctor	Doctor	Doctor
1023007	BuildingBattleQuestion	护士	护士	Nurse	Nurse	Медсестра	Nurse	Nurse	Nurse	Nurse	Nurse	Perawat	พยาบาล	Nurse	Nurse	Nurse
1023008	BuildingBattleQuestion	警察	警察	Police	Police	Полицейский	Police	Police	Police	Police	Police	Polisi	ตำรวจ	Police	Police	Police
1023009	BuildingBattleQuestion	公主	公主	Princess	Princess	Принцесса	Princess	Princess	Princess	Princess	Princess	Putri	เข้าหญิง	Princess	Princess	Princess
1023010	BuildingBattleQuestion	国王	国王	King	King	Король	King	King	King	King	King	Raja	กษัตริย์	King	King	King
1023011	BuildingBattleQuestion	雪人	雪人	Snowman	Snowman	Снеговик	Snowman	Snowman	Snowman	Snowman	Snowman	Orang Salju	คนหิมะ	Snowman	Snowman	Snowman
1023012	BuildingBattleQuestion	猫	猫	Cat	Cat	Кот	Cat	Cat	Cat	Cat	Cat	Kucing	แมว	Cat	Cat	Cat
1023013	BuildingBattleQuestion	狗	狗	Dog	Dog	Собака	Dog	Dog	Dog	Dog	Dog	Anjing	หมา	Dog	Dog	Dog
1023014	BuildingBattleQuestion	牛	牛	Cow	Cow	Корова	Cow	Cow	Cow	Cow	Cow	Sapi	ควาย	Cow	Cow	Cow
1023015	BuildingBattleQuestion	羊	羊	Sheep	Sheep	Овца	Sheep	Sheep	Sheep	Sheep	Sheep	Kambing	แกะ	Sheep	Sheep	Sheep
1023016	BuildingBattleQuestion	企鹅	企鹅	Penguin	Penguin	Пингвин	Penguin	Penguin	Penguin	Penguin	Penguin	Pinguin	นกเพนกวิน	Penguin	Penguin	Penguin
1023017	BuildingBattleQuestion	猪	猪	Pig	Pig	Свинья	Pig	Pig	Pig	Pig	Pig	Babi	หมู	Pig	Pig	Pig
1023018	BuildingBattleQuestion	恐龙	恐龙	Dinosaur	Dinosaur	Динозавр	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	Dinosaur	ไดโนเสาร์	Dinosaur	Dinosaur	Dinosaur
1023019	BuildingBattleQuestion	床	床	Bed	Bed	Кровать	Bed	Bed	Bed	Bed	Bed	Ranjang	เตียง	Bed	Bed	Bed
1023020	BuildingBattleQuestion	衣柜	衣柜	Wardrobe	Wardrobe	Шкаф	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Wardrobe	Lemari Pakaian	ตู้เสื้อ	Wardrobe	Wardrobe	Wardrobe
1023021	BuildingBattleQuestion	沙发	沙发	Sofa	Sofa	Диван	Sofa	Sofa	Sofa	Sofa	Sofa	Sofa	โซฟา	Sofa	Sofa	Sofa
1023022	BuildingBattleQuestion	书桌	书桌	Desk	Desk	стол	Desk	Desk	Desk	Desk	Desk	Meja	โต๊ะ	Desk	Desk	Desk
1023023	BuildingBattleQuestion	椅子	椅子	Chair	Chair	Стульчик	Chair	Chair	Chair	Chair	Chair	Kursi	เก้าอี้	Chair	Chair	Chair
1023024	BuildingBattleQuestion	伞	伞	Umbrella	Umbrella	Зонтик	Umbrella	Umbrella	Umbrella	Umbrella	Umbrella	Payung	ร่ม	Umbrella	Umbrella	Umbrella
1023025	BuildingBattleQuestion	杯子	杯子	Cup	Cup	Кружка	Cup	Cup	Cup	Cup	Cup	Gelas	แก้ว	Cup	Cup	Cup
1023026	BuildingBattleQuestion	公交车	公交车	Bus	Bus	Автобус	Bus	Bus	Bus	Bus	Bus	Bis	รถประจำทาง	Bus	Bus	Bus
1023027	BuildingBattleQuestion	大卡车	大卡车	Trucks	Trucks	Грузовики	Trucks	Trucks	Trucks	Trucks	Trucks	Truk	รถบรรทุกขนาดใหญ่	Trucks	Trucks	Trucks
1023028	BuildingBattleQuestion	小汽车	小汽车	Car	Car	Автомобиль	Car	Car	Car	Car	Car	Mobil	รถยนต์เล็ก	Car	Car	Car
1023029	BuildingBattleQuestion	救护车	救护车	Ambulance	Ambulance	Скорая помощь	Ambulance	Ambulance	Ambulance	Ambulance	Ambulance	Ambulan	รถพยาบาล	Ambulance	Ambulance	Ambulance
1023030	BuildingBattleQuestion	警车	警车	Police car	Police car	Полицейская машина	Police car	Police car	Police car	Police car	Police car	Mobil Polisi	รถตำรวจ	Police car	Police car	Police car
1023031	BuildingBattleQuestion	飞机	飞机	Plane	Plane	Самолёт	Plane	Plane	Plane	Plane	Plane	Pesawat	เครื่องบิน	Plane	Plane	Plane
1023032	BuildingBattleQuestion	钻石剑	钻石剑	Diamond sword	Diamond sword	Алмазный меч	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Diamond sword	Pedang Permata	ดาบเพชร	Diamond sword	Diamond sword	Diamond sword
1023033	BuildingBattleQuestion	房子	房子	House	House	Дом	House	House	House	House	House	Rumah	เรือน	House	House	House
1023034	BuildingBattleQuestion	树	树	Tree	Tree	Дерево	Tree	Tree	Tree	Tree	Tree	Pohon	ต้นไม้	Tree	Tree	Tree
1023035	BuildingBattleQuestion	篮球	篮球	Basketball	Basketball	Баскетбол	Basketball	Basketball	Basketball	Basketball	Basketball	Bola Basket	บาสเกตบอล	Basketball	Basketball	Basketball
1023036	BuildingBattleQuestion	云朵	云朵	Clouds	Clouds	Облака	Clouds	Clouds	Clouds	Clouds	Clouds	Awan-awan	ดอกเมฆ	Clouds	Clouds	Clouds
1023037	BuildingBattleQuestion	钻石	钻石	Diamond	Diamond	Алмаз	Diamond	Diamond	Diamond	Diamond	Diamond	Permata	เพชร	Diamond	Diamond	Diamond
1023038	BuildingBattleQuestion	橄榄球	橄榄球	Rugby	Rugby	Регби	Rugby	Rugby	Rugby	Rugby	Rugby	Ragbi	บอลมะกอก	Rugby	Rugby	Rugby
1023039	BuildingBattleQuestion	南瓜	南瓜	Pumpkin	Pumpkin	Тыква	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Pumpkin	Labu	ฟักทอง	Pumpkin	Pumpkin	Pumpkin
1023040	BuildingBattleQuestion	草莓	草莓	Strawberry	Strawberry	Клубника	Strawberry	Strawberry	Strawberry	Strawberry	Strawberry	Stoberi	สตรอเบอร์รี่	Strawberry	Strawberry	Strawberry
1023041	BuildingBattleQuestion	大象	大象	Elephant	Elephant	Слон	Elephant	Elephant	Elephant	Elephant	Elephant	Gajah	ช้าง	Elephant	Elephant	Elephant
1023042	BuildingBattleQuestion	电脑	电脑	Computer	Computer	Компьютер	Computer	Computer	Computer	Computer	Computer	Komputer	คอมพิวเตอร์	Computer	Computer	Computer
1023043	BuildingBattleQuestion	蜘蛛	蜘蛛	Spider	Spider	Паук	Spider	Spider	Spider	Spider	Spider	Laba-laba	แมงมุม	Spider	Spider	Spider
1023044	BuildingBattleQuestion	狮子	狮子	Lion	Lion	Лев	Lion	Lion	Lion	Lion	Lion	Singa	สิงห์	Lion	Lion	Lion
1023045	BuildingBattleQuestion	老虎	老虎	Tiger	Tiger	Тигр	Tiger	Tiger	Tiger	Tiger	Tiger	Harimau	เสือ	Tiger	Tiger	Tiger
1023046	BuildingBattleQuestion	青蛙	青蛙	Frog	Frog	Лягушка	Frog	Frog	Frog	Frog	Frog	Katak	กบ	Frog	Frog	Frog
1023047	BuildingBattleQuestion	山	山	Mountain	Mountain	Гора	Mountain	Mountain	Mountain	Mountain	Mountain	Gunung	ภูเขา	Mountain	Mountain	Mountain
1023048	BuildingBattleQuestion	机器人	机器人	Robot	Robot	Робот	Robot	Robot	Robot	Robot	Robot	Robot	หุ่นยนต์	Robot	Robot	Robot
1023049	BuildingBattleQuestion	僵尸	僵尸	Zombies	Zombies	Зомби	Zombies	Zombies	Zombies	Zombies	Zombies	Zombie-Zombie	ซากศพ	Zombies	Zombies	Zombies
1023050	BuildingBattleQuestion	绿巨人	绿巨人	The hulk	The hulk	Халк	The hulk	The hulk	The hulk	The hulk	The hulk	Si Hulk	ยักษ์เขียว	The hulk	The hulk	The hulk
1023051	BuildingBattleQuestion	手机	手机	Mobile phone	Mobile phone	Мобильный телефон	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Mobile phone	Telepon Genggam	โทรศัพท์	Mobile phone	Mobile phone	Mobile phone
1023052	BuildingBattleQuestion	电视	电视	Television	Television	Телевизор	Television	Television	Television	Television	Television	Televisi	โทรทัศน์	Television	Television	Television
1023053	BuildingBattleQuestion	衣服	衣服	Clothes	Clothes	Одежда	Clothes	Clothes	Clothes	Clothes	Clothes	Pakaian	เสื้อ	Clothes	Clothes	Clothes
1023054	BuildingBattleQuestion	橘子	橘子	Orange	Orange	Апельсин	Orange	Orange	Orange	Orange	Orange	Oren	ส้ม	Orange	Orange	Orange
1023055	BuildingBattleQuestion	坦克	坦克	Tank	Tank	Танк	Tank	Tank	Tank	Tank	Tank	Tangki	รถถัง	Tank	Tank	Tank
1023056	BuildingBattleQuestion	松鼠	松鼠	Squirrel	Squirrel	Белочка	Squirrel	Squirrel	Squirrel	Squirrel	Squirrel	Tupai	กระรอก	Squirrel	Squirrel	Squirrel
1023057	BuildingBattleQuestion	人	人	People	People	Люди	People	People	People	People	People	Orang	คน	People	People	People
1023058	BuildingBattleQuestion	枪	枪	Gun	Gun	Оружие	Gun	Gun	Gun	Gun	Gun	Pistol	ปีน	Gun	Gun	Gun
1023059	BuildingBattleQuestion	水果	水果	Fruits	Fruits	Фрукты	Fruits	Fruits	Fruits	Fruits	Fruits	Buah-buahan	ผลไม้	Fruits	Fruits	Fruits
1023060	BuildingBattleQuestion	蔬菜	蔬菜	Vegetables	Vegetables	Овощи	Vegetables	Vegetables	Vegetables	Vegetables	Vegetables	Vegetarian	ผัก	Vegetables	Vegetables	Vegetables
